#{"t_start": 1700864018.2329156, "env_id": "QuadrotorPlusHoverEnv-v0"}
r,l,t
-39.291527,13,0.700125
6.562286,19,0.741578
-56.598695,17,0.778981
-33.798269,11,0.802473
-16.321782,14,0.833219
-33.555096,12,0.858451
-29.777893,13,0.896784
-13.58023,13,0.926314
11.091416,18,0.983526
-4.136815,15,1.023841
-35.31282,14,1.060261
-39.79658,14,1.087658
-42.282176,13,1.113702
-32.077783,11,1.134186
-42.942839,13,1.169568
-31.941076,11,1.209706
-49.664783,16,1.244451
-23.376517,12,1.267488
-11.874476,16,1.300394
-36.511771,14,1.338153
-20.770689,12,1.382088
-20.681881,16,1.411799
-30.688492,12,1.433659
-26.859406,16,1.465754
-23.632856,12,1.49115
-37.751359,17,1.539203
-27.433463,10,1.557911
-36.093355,11,1.595593
-40.116005,14,1.624809
-33.115293,14,1.653208
-27.509192,12,1.675929
-28.67018,14,1.716378
-18.545048,11,1.756007
-1.07831,12,1.783123
-21.935069,12,1.804998
-21.873355,11,1.82573
-24.534913,14,1.850481
-0.848419,17,1.885199
-0.304671,13,1.908486
-36.811294,11,1.938402
-46.423283,13,1.982891
-24.387642,16,2.01362
-34.474438,17,2.046182
-34.781147,16,2.074058
-23.438275,14,2.110001
-33.296867,13,2.158567
-44.934951,16,2.196956
-28.967247,13,2.248079
-33.095634,13,2.273021
-32.603426,16,2.307143
-32.14057,12,2.330761
-13.074506,17,2.390683
-12.16084,12,2.418282
-28.080336,13,2.441594
-19.991105,15,2.471234
-11.519486,11,2.500997
-30.107756,12,2.522811
-34.605935,13,2.564025
-40.142086,13,2.595182
-22.669366,15,2.62466
-37.392355,10,2.642702
-28.165765,13,2.681006
-42.712605,12,2.721715
-30.006353,12,2.743877
-14.439996,15,2.7765
-21.804197,15,2.815797
-34.204562,12,2.859998
-21.079706,14,2.888284
-32.020772,12,2.909639
-35.967574,15,2.937914
-34.251115,14,2.964342
-16.223642,13,2.994004
-28.797769,14,3.019049
-9.467771,16,3.074841
-38.606693,12,3.101853
-9.187991,14,3.128239
-6.758628,17,3.159709
-5.819076,20,3.195977
-34.380422,12,3.217981
-34.821189,12,3.27227
-32.628897,14,3.300709
-25.708499,11,3.322988
-31.113905,14,3.348368
-27.759033,14,3.376453
-33.339672,10,3.427513
-10.262336,12,3.449457
-12.756966,16,3.482032
-26.673282,9,3.499732
-44.247841,16,3.530465
-17.563251,18,3.588972
-8.23157,21,3.636739
-36.047563,14,3.663342
-25.11287,12,3.68519
1.398383,21,3.724445
-43.17603,13,3.747746
-37.35252,12,3.778834
-34.309779,14,3.816071
-41.171373,12,3.838912
-29.137956,12,3.873244
-40.735972,11,3.898336
-49.343683,10,3.91676
-0.654492,15,3.949284
-25.867729,12,3.988118
-27.206174,14,4.030923
-37.376776,10,4.049505
-36.078092,9,4.069199
-16.061013,19,4.117465
-30.054422,17,4.167495
-21.138356,17,4.199972
-41.909855,13,4.222927
-13.591676,19,4.260085
-30.411774,14,4.285316
-42.732559,14,4.312218
-27.6981,11,4.333274
-18.335669,17,4.365079
-0.020794,13,4.388593
-21.713097,11,4.423003
-35.934985,10,4.463677
-36.295224,12,4.485139
-27.144727,11,4.509143
-23.343914,13,4.533156
5.10834,20,4.579425
-24.156635,15,4.631685
-52.114026,13,4.655639
2.479928,15,4.685037
-33.965016,13,4.710431
-23.842691,20,4.747084
-13.996054,12,4.779464
-0.167074,16,4.834207
-29.160993,11,4.854939
